movieId,title,title_clean,year,decade,genres,genres_array,revenue,budget,roi,avg_rating,rating_count,rating_stddev
89056,0,0,,,Documentary|Music,Documentary|Music,0.036891,0.0,,,0,
104064,Vares - The Path Of The Righteous Men,Vares - The Path Of The Righteous Men,,,Action|Crime,Action|Crime,0.0,0.0,,,0,
203894,The African Lion (1955),The African Lion,1955.0,1950.0,Children|Documentary,Children|Documentary,,,,,0,
147958,While New York Sleeps (1938),While New York Sleeps,1938.0,1930.0,Crime|Drama,Crime|Drama,,,,,0,
4519,The Land Before Time,The Land Before Time,,,Animation|Adventure|Family,Animation|Adventure|Family,84460846.0,12300000.0,5.866735447154472,4.0,1,
70355,Daddy Nostalgia,Daddy Nostalgia,,,Drama,Drama,0.0,0.0,,,0,
89476,Frenchman's Creek,Frenchman's Creek,,,Romance|Adventure,Romance|Adventure,0.0,0.0,,,0,
197953,Bronx Executioner (1989),Bronx Executioner,1989.0,1980.0,Unknown,Unknown,,,,,0,
4900,14782676,14782676,,,Comedy,Comedy,,24000000.0,,3.0,1,
27760,When the Last Sword Is Drawn,When the Last Sword Is Drawn,,,Action|Drama|History,Action|Drama|History,0.0,0.0,,,0,
94819,You Can't Win 'Em All,You Can't Win 'Em All,,,War|Adventure|Comedy,War|Adventure|Comedy,0.0,0.0,,,0,
163046,Hattrick,Hattrick,,,[],[],0.0,0.0,,,0,
149764,Released,Released,,,Romance|Drama|Comedy,Romance|Drama|Comedy,,0.0,,,0,
31035,Testament,Testament,,,Action|Drama|Science Fiction,Action|Drama|Science Fiction,2044892.0,1500000.0,0.3632613333333333,4.0,1,
108806,Heartbreak Hotel,Heartbreak Hotel,,,Drama|Comedy|Foreign,Drama|Comedy|Foreign,0.0,0.0,,,0,
141422,Suffragette,Suffragette,,,Drama|History,Drama|History,16002420.0,14000000.0,0.14303,,0,
192401,The Westing Game (1997),The Westing Game,1997.0,1990.0,Children|Horror|Mystery,Children|Horror|Mystery,,,,,0,
200878,The Pit and the Pendulum (1964),The Pit and the Pendulum,1964.0,1960.0,Drama|Horror,Drama|Horror,,,,,0,
80451,Hungry Wives,Hungry Wives,,,Mystery|Horror|Drama,Mystery|Horror|Drama,0.0,90000.0,-1.0,,0,
6654,Atragon,Atragon,,,Foreign|Science Fiction,Foreign|Science Fiction,0.0,0.0,,,0,
88599,Come Undone,Come Undone,,,Comedy|Drama|Romance,Comedy|Drama|Romance,0.0,0.0,,,0,
155959,White Bondage,White Bondage,,,Drama,Drama,0.0,0.0,,,0,
195263,God Knows Where I Am (2016),God Knows Where I Am,2016.0,2010.0,Documentary|Drama|Mystery,Documentary|Drama|Mystery,,,,,0,
155042,Children of Beslan,Children of Beslan,,,Documentary,Documentary,0.0,0.0,,,0,
153236,Released,Released,,,Animation,Animation,,0.0,,,0,
149688,The Stone Tape (1972),The Stone Tape,1972.0,1970.0,Science Fiction|Horror,Science Fiction|Horror,,0.0,,,0,
5518,Beau Pere,Beau Pere,,,Drama|Romance,Drama|Romance,0.0,0.0,,,0,
191355,The Erlprince (2016),The Erlprince,2016.0,2010.0,Drama,Drama,,,,,0,
7880,Friday Night,Friday Night,,,Drama|Foreign|Romance,Drama|Foreign|Romance,0.0,0.0,,,0,
183955,Todd Barry: Spicy Honey (2017),Todd Barry: Spicy Honey,2017.0,2010.0,Comedy,Comedy,,,,,0,
82529,Soo,Soo,,,Action|Adventure|Foreign,Action|Adventure|Foreign,1275162.0,0.0,,,0,
193137,Reprisal (2018),Reprisal,2018.0,2010.0,Action|Crime|Thriller,Action|Crime|Thriller,,,,,0,
200718,African Violet (2019),African Violet,2019.0,2010.0,Drama,Drama,,,,,0,
116259,Courage of Lassie,Courage of Lassie,,,Family|Adventure|Drama,Family|Adventure|Drama,0.0,0.0,,,0,
139128,Genius Party Beyond,Genius Party Beyond,,,Animation,Animation,0.0,0.0,,,0,
109800,Breaking the Taboo,Breaking the Taboo,,,Documentary,Documentary,0.0,2000000.0,-1.0,,0,
3175,Galaxy Quest,Galaxy Quest,,,Comedy|Family|Science Fiction,Comedy|Family|Science Fiction,90683916.0,45000000.0,1.0151981333333333,3.5,6,0.7637626158259737
833,High School High,High School High,,,Comedy,Comedy,21302121.0,0.0,,2.0,1,
153166,"[{'iso_639_1': 'ja', 'name': '日本語'}]","[{'iso_639_1': 'ja', 'name': '日本語'}]",,,Foreign|Drama,Foreign|Drama,,0.0,,,0,
168444,Stolen Death,Stolen Death,,,Thriller,Thriller,0.0,0.0,,,0,
2811,With Friends Like These...,With Friends Like These...,,,Horror|Science Fiction,Horror|Science Fiction,0.0,0.0,,,0,
152856,Naked Soldier,Naked Soldier,,,Action|Drama,Action|Drama,0.0,0.0,,,0,
132725,0,0,,,Adventure|Drama,Adventure|Drama,0.089389,0.0,,,0,
130912,In the Shadow,In the Shadow,,,Crime|Drama,Crime|Drama,0.0,0.0,,,0,
121644,The Gift of Love,The Gift of Love,,,Romance|Drama,Romance|Drama,0.0,0.0,,,0,
63781,The Living Sea,The Living Sea,,,Documentary,Documentary,87600000.0,0.0,,,0,
48711,Facing the Giants,Facing the Giants,,,Drama,Drama,10178331.0,100000.0,100.78331,,0,
164278,Going Attractions: The Definitive Story of the American Drive-in Movie,Going Attractions: The Definitive Story of the American Drive-in Movie,,,Documentary|Family|History,Documentary|Family|History,0.0,0.0,,,0,
170737,Claire (2001),Claire,2001.0,2000.0,Fantasy,Fantasy,,,,,0,
145747,Released,Released,,,Drama|Crime,Drama|Crime,,0.0,,,0,
171521,Inseparable,Inseparable,,,Drama,Drama,0.0,0.0,,,0,
