userId,segment,rating_count,avg_rating,unique_movies_rated
40334,Heavy,4,3.5,4
86438,Heavy,1,3.5,1
8919,Heavy,1,1.0,1
158277,Heavy,1,5.0,1
74261,Heavy,1,2.5,1
120723,Heavy,1,3.0,1
76957,Heavy,1,4.5,1
56032,Heavy,1,4.5,1
72315,Heavy,30,3.283333333333333,30
103277,Heavy,1,4.5,1
47583,Heavy,1,5.0,1
95371,Heavy,1,2.0,1
50174,Heavy,4,3.125,4
49460,Heavy,2,4.5,2
51016,Heavy,3,3.0,3
50504,Heavy,1,3.0,1
27550,Heavy,1,2.0,1
44424,Heavy,2,3.25,2
3503,Heavy,1,3.5,1
42104,Heavy,2,4.5,2
80425,Heavy,1,3.0,1
51219,Heavy,1,4.0,1
147165,Heavy,1,3.0,1
104955,Heavy,1,5.0,1
21059,Heavy,1,2.5,1
68456,Heavy,1,5.0,1
4156,Heavy,2,2.75,2
28169,Heavy,1,4.5,1
30083,Heavy,1,3.5,1
35094,Heavy,1,4.0,1
59393,Heavy,2,2.75,2
4631,Heavy,1,4.5,1
27466,Heavy,1,3.5,1
161291,Heavy,1,4.5,1
112745,Heavy,1,4.0,1
42778,Heavy,2,3.25,2
59200,Heavy,1,4.0,1
20354,Heavy,1,5.0,1
124048,Heavy,1,2.0,1
12552,Heavy,2,2.5,2
39864,Heavy,1,1.0,1
74905,Heavy,4,4.0,4
118569,Heavy,1,3.0,1
37635,Heavy,2,3.0,2
141220,Heavy,1,3.5,1
41201,Heavy,1,4.0,1
124772,Heavy,3,3.6666666666666665,3
151938,Heavy,2,3.25,2
58314,Heavy,1,2.0,1
69143,Heavy,1,4.0,1
78762,Heavy,1,3.5,1
85347,Heavy,2,3.5,2
153212,Heavy,2,3.0,2
128772,Heavy,1,5.0,1
144336,Heavy,1,4.0,1
94853,Heavy,1,3.0,1
31887,Heavy,1,3.0,1
142470,Heavy,2,3.75,2
131253,Heavy,2,2.25,2
113398,Heavy,1,4.0,1
68394,Heavy,1,0.5,1
4424,Heavy,1,4.0,1
11763,Heavy,1,4.5,1
135340,Heavy,1,3.5,1
3576,Heavy,1,5.0,1
31565,Heavy,1,5.0,1
159915,Heavy,1,4.0,1
435,Heavy,1,2.0,1
26767,Heavy,1,2.0,1
129209,Heavy,1,4.5,1
50065,Heavy,1,2.0,1
107871,Heavy,1,2.0,1
51040,Heavy,1,4.0,1
154737,Heavy,1,3.0,1
79544,Heavy,1,4.0,1
19177,Heavy,1,4.0,1
64970,Heavy,1,0.5,1
13888,Heavy,1,4.5,1
52969,Heavy,1,3.5,1
25108,Heavy,1,4.0,1
124451,Heavy,1,4.5,1
139554,Heavy,1,2.5,1
8024,Heavy,1,3.5,1
122221,Heavy,2,3.5,2
81789,Heavy,1,4.0,1
10797,Heavy,2,3.5,2
162431,Heavy,1,4.0,1
44825,Heavy,1,3.0,1
77472,Heavy,1,1.0,1
87804,Heavy,3,2.3333333333333335,3
99282,Heavy,1,3.5,1
121846,Heavy,1,4.0,1
74940,Heavy,1,2.5,1
81482,Heavy,1,2.0,1
94687,Heavy,1,3.5,1
69030,Heavy,4,3.0,4
26137,Heavy,2,3.25,2
28812,Heavy,3,2.8333333333333335,3
90557,Heavy,1,3.5,1
157751,Heavy,1,3.0,1
